,TITLE, LINK,TIME
1,"Indian REITs deliver 6-7.5% yields, outpacing US, Japan markets: Report",https://www.business-standard.com/markets/news/indian-reits-deliver-6-7-5-yields-outpacing-us-japan-markets-report-125091300205_1.html,Updated On : 13 Sep 2025 | 11:43 AM IST
2,Sebi move to classify Reits as equity draws strong industry support,https://www.business-standard.com/markets/news/sebi-s-equity-tag-for-reits-draws-industry-cheer-125091201536_1.html,Updated On : 13 Sep 2025 | 12:22 AM IST
3,Near-term weakness in Coal India stock seen as buying opportunity,https://www.business-standard.com/markets/news/near-term-weakness-in-coal-india-stock-seen-as-buying-opportunity-125091201422_1.html,Updated On : 12 Sep 2025 | 11:31 PM IST
4,"After Infosys, TCS, Wipro may follow with buyback amid stock rout: Analysts",https://www.business-standard.com/markets/news/after-infosys-tcs-wipro-may-follow-with-buyback-amid-stock-rout-analysts-125091200126_1.html,Updated On : 12 Sep 2025 | 11:28 PM IST
5,"Nifty posts longest winning streak in a year on Fed cut, trade deal hopes",https://www.business-standard.com/markets/news/nifty-logs-longest-winning-streak-in-a-year-sensex-ends-higher-125091201341_1.html,Updated On : 12 Sep 2025 | 11:23 PM IST
6,Trading activity in SME stocks lags even as market sees new listings,https://www.business-standard.com/markets/news/new-listings-continue-but-trading-activity-lags-in-sme-stocks-125091201280_1.html,Updated On : 12 Sep 2025 | 11:17 PM IST
7,PSU bank index jumps 21% in 6 months; time to rethink investment strategy?,https://www.business-standard.com/markets/news/nifty-psu-bank-index-jumps-21-per-cent-in-6-months-is-it-a-good-time-to-buy-psu-bank-stocks-or-private-bank-stocks-investment-strategy-125091200596_1.html,Updated On : 12 Sep 2025 | 10:50 PM IST
8,Disclosure of family agreements must for listed firms: Sebi in HC,https://www.business-standard.com/markets/news/disclosure-of-family-agreements-mandatory-for-listed-firms-sebi-in-hc-125091201289_1.html,Updated On : 12 Sep 2025 | 10:13 PM IST
9,"SC approves â‚¹5,000 crore payout from Sebi-Sahara fund to depositors",https://www.business-standard.com/markets/news/sc-approves-5-000-crore-payout-from-sebi-sahara-fund-to-depositors-125091201382_1.html,Updated On : 12 Sep 2025 | 9:08 PM IST
10,"JM Financial bets on Tata Steel, Hindalco, Jindal Steel ahead of Q2 show",https://www.business-standard.com/markets/news/jm-financial-tata-steel-hindalco-jspl-q2-results-steel-stocks-share-price-metal-stocks-nse-bse-sensex-today-markets-125091200234_1.html,Updated On : 12 Sep 2025 | 8:09 PM IST
11,Govt may mandate silver jewellery hallmarking after six months: BIS,https://www.business-standard.com/markets/news/govt-may-mandate-silver-jewellery-hallmarking-after-six-months-bis-125091201121_1.html,Updated On : 12 Sep 2025 | 7:06 PM IST
12,"Sebi board clears IPO rule relaxations, new norms for foreign investors",https://www.business-standard.com/markets/news/sebi-board-clears-ipo-rule-relaxations-new-norms-for-foreign-investors-125091201124_1.html,Updated On : 12 Sep 2025 | 6:56 PM IST
13,Indian Rupee advances on Fed cut hopes; ends 16 paise higher at 88.28/$,https://www.business-standard.com/markets/news/indian-rupee-advances-on-fed-cut-hopes-ends-16-paise-higher-at-88-28-per-dollar-125091200833_1.html,Updated On : 12 Sep 2025 | 3:51 PM IST
14,"Stock Market Close: Sensex adds 356 pts, Nifty at 25,114; metal, financials shine; FMCG, PSBs drag",https://www.business-standard.com/markets/news/stock-market-live-updates-september-12-nse-nifty-bse-sensex-today-ipo-urban-company-gift-nifty-infosys-share-buyback-125091200127_1.html,Updated On : 12 Sep 2025 | 3:48 PM IST
15,Rupee rebounds from record lows amid Fed cut bets; opens higher at 88.38/$,https://www.business-standard.com/markets/news/rupee-rebounds-from-record-lows-amid-fed-cut-bets-opens-higher-at-88-38-per-dollar-125091200184_1.html,Updated On : 12 Sep 2025 | 3:36 PM IST
16,"Dilip Buildcon extends rally, soars 22% in 3 days; stock nears 52-week high",https://www.business-standard.com/markets/news/dilip-buildcon-extends-rally-soars-22-in-3-days-stock-nears-52-week-high-125091200742_1.html,Updated On : 12 Sep 2025 | 3:12 PM IST
17,Why did JSW Energy share rise 2% in trade today? Check details here,https://www.business-standard.com/markets/news/why-did-jsw-energy-share-rise-2-in-trade-today-check-details-here-share-price-bse-nse-sensex-today-125091200738_1.html,Updated On : 12 Sep 2025 | 2:54 PM IST
18,"IPO Calendar: D-Street braces for busy week with 5 openings, 12 listings",https://www.business-standard.com/markets/news/ipo-calendar-d-street-braces-for-busy-week-with-5-openings-12-listings-125091200730_1.html,Updated On : 12 Sep 2025 | 2:50 PM IST
19,Knowledge Marine surges 25% in 2 days; what's driving this microcap stock?,https://www.business-standard.com/markets/news/knowledge-marine-surges-25-in-2-days-what-s-driving-this-microcap-dredging-stock-125091200646_1.html,Updated On : 12 Sep 2025 | 2:26 PM IST
20,Raining dividends! These 220 stocks go ex-date next week; do you own any?,https://www.business-standard.com/markets/news/raining-dividends-these-220-stocks-go-ex-date-next-week-do-you-own-any-125091200657_1.html,Updated On : 12 Sep 2025 | 2:13 PM IST
